Model,DPO2024B
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
-1.09562e-02,0.478359
-1.09560e-02,0.478563
-1.09558e-02,0.4785
-1.09557e-02,0.478844
-1.09555e-02,0.478344
-1.09554e-02,0.478344
-1.09552e-02,0.478281
-1.09550e-02,0.478313
-1.09549e-02,0.478422
-1.09547e-02,0.4785
-1.09546e-02,0.478594
-1.09544e-02,0.478906
-1.09542e-02,0.478984
-1.09541e-02,0.479219
-1.09539e-02,0.479094
-1.09538e-02,0.478719
-1.09536e-02,0.478625
-1.09534e-02,0.478391
-1.09533e-02,0.478422
-1.09531e-02,0.478438
-1.09530e-02,0.478703
-1.09528e-02,0.478797
-1.09526e-02,0.479219
-1.09525e-02,0.479078
-1.09523e-02,0.478859
-1.09522e-02,0.479125
-1.09520e-02,0.479203
-1.09518e-02,0.479297
-1.09517e-02,0.479563
-1.09515e-02,0.479313
-1.09514e-02,0.479094
-1.09512e-02,0.478766
-1.09510e-02,0.478109
-1.09509e-02,0.478203
-1.09507e-02,0.477875
-1.09506e-02,0.478078
-1.09504e-02,0.478359
-1.09502e-02,0.478453
-1.09501e-02,0.478719
-1.09499e-02,0.479125
-1.09498e-02,0.478969
-1.09496e-02,0.478922
-1.09494e-02,0.478938
-1.09493e-02,0.479
-1.09491e-02,0.479063
-1.09490e-02,0.479094
-1.09488e-02,0.478969
-1.09486e-02,0.479109
-1.09485e-02,0.479641
-1.09483e-02,0.479516
-1.09482e-02,0.47975
-1.09480e-02,0.479734
-1.09478e-02,0.479922
-1.09477e-02,0.480219
-1.09475e-02,0.479672
-1.09474e-02,0.479625
-1.09472e-02,0.479172
-1.09470e-02,0.478656
-1.09469e-02,0.478813
-1.09467e-02,0.478719
-1.09466e-02,0.478813
-1.09464e-02,0.479016
-1.09462e-02,0.478953
-1.09461e-02,0.478594
-1.09459e-02,0.478797
-1.09458e-02,0.479234
-1.09456e-02,0.479594
-1.09454e-02,0.479563
-1.09453e-02,0.479672
-1.09451e-02,0.479516
-1.09450e-02,0.479484
-1.09448e-02,0.479516
-1.09446e-02,0.479438
-1.09445e-02,0.479641
-1.09443e-02,0.479703
-1.09442e-02,0.479734
-1.09440e-02,0.479844
-1.09438e-02,0.479375
-1.09437e-02,0.4795
-1.09435e-02,0.479641
-1.09434e-02,0.479563
-1.09432e-02,0.479656
-1.09430e-02,0.479641
-1.09429e-02,0.479938
-1.09427e-02,0.479797
-1.09426e-02,0.479922
-1.09424e-02,0.479578
-1.09422e-02,0.479766
-1.09421e-02,0.479172
-1.09419e-02,0.478859
-1.09418e-02,0.478891
-1.09416e-02,0.478656
-1.09414e-02,0.478688
-1.09413e-02,0.479125
-1.09411e-02,0.478875
-1.09410e-02,0.479359
-1.09408e-02,0.479344
-1.09406e-02,0.479609
-1.09405e-02,0.479906
-1.09403e-02,0.479781
-1.09402e-02,0.479641
-1.09400e-02,0.479703
-1.09398e-02,0.479031
-1.09397e-02,0.478984
-1.09395e-02,0.478906
-1.09394e-02,0.478813
-1.09392e-02,0.478953
-1.09390e-02,0.478609
-1.09389e-02,0.478391
-1.09387e-02,0.478563
-1.09386e-02,0.478891
-1.09384e-02,0.478766
-1.09382e-02,0.478891
-1.09381e-02,0.478813
-1.09379e-02,0.478875
-1.09378e-02,0.478797
-1.09376e-02,0.478891
-1.09374e-02,0.479453
-1.09373e-02,0.479922
-1.09371e-02,0.479984
-1.09370e-02,0.480016
-1.09368e-02,0.480125
-1.09366e-02,0.479953
-1.09365e-02,0.479906
-1.09363e-02,0.480188
-1.09362e-02,0.480141
-1.09360e-02,0.480281
-1.09358e-02,0.480266
